Name,City,IATA
Antwerp International Airport (Deurne),Antwerp,ANR
Brussels Airport,Brussels,BRU
Brussels South Charleroi Airport,Charleroi,CRL
Wevelgem Airport,Kortrijk-vevelgem,KJK
Liège Airport,Liege,LGG
Ostend-Bruges International Airport,Ostend,OST
Zoersel (Oostmalle) Airfield,Zoersel,OBL
Altenburg-Nobitz Airport,Altenburg,AOC
Riesa-Göhlis Airport,Riesa,IES
Rechlin-Lärz Airport,Rechlin-laerz,REB
Schönhagen Airport,Schoenhagen,QXH
Barth Airport,Barth,BBH
"Magdeburg ""City"" Airport",Magdeburg,ZMG
Cottbus-Drewitz Airport,Cottbus,CBU
Berlin-Schönefeld Airport,Berlin,SXF
Dresden Airport,Dresden,DRS
Erfurt Airport,Erfurt,ERF
Frankfurt am Main Airport,Frankfurt,FRA
Münster Osnabrück Airport,Munster,FMO
Hamburg Airport,Hamburg,HAM
Berlin-Tempelhof International Airport,Berlin,THF
Cologne Bonn Airport,Cologne,CGN
Düsseldorf Airport,Duesseldorf,DUS
Munich Airport,Munich,MUC
Nuremberg Airport,Nuernberg,NUE
Leipzig/Halle Airport,Leipzig,LEJ
Saarbrücken Airport,Saarbruecken,SCN
Stuttgart Airport,Stuttgart,STR
Berlin-Tegel Airport,Berlin,TXL
Hannover Airport,Hannover,HAJ
Bremen Airport,Bremen,BRE
Frankfurt-Egelsbach Airport,Egelsbach,QEF
Frankfurt-Hahn Airport,Hahn,HHN
Mannheim-City Airport,Mannheim,MHG
Eisenach-Kindel Airport,Eisenach,EIB
Siegerland Airport,Siegerland,SGE
Hamburg-Finkenwerder Airport,Hamburg,XFW
Kiel-Holtenau Airport,Kiel,KEL
Lübeck Blankensee Airport,Luebeck,LBC
Essen Mulheim Airport,Essen,ESS
Bielefeld Airport,Bielefeld,BFE
Mönchengladbach Airport,Moenchengladbach,MGL
Paderborn Lippstadt Airport,Paderborn,PAD
Dortmund Airport,Dortmund,DTM
Augsburg Airport,Augsburg,AGB
Oberpfaffenhofen Airport,Oberpfaffenhofen,OBF
Straubing Airport,Straubing,RBM
Friedrichshafen Airport,Friedrichshafen,FDH
Schwerin Parchim Airport,Parchim,SZW
Bayreuth Airport,Bayreuth,BYU
Burg Feuerstein Airport,Burg Feuerstein,URD
Hof-Plauen Airport,Hof,HOQ
Zweibrücken Airport,Zweibruecken,ZQW
Donaueschingen-Villingen Airport,Donaueschingen,ZQL
Braunschweig-Wolfsburg Airport,Braunschweig,BWE
Kassel-Calden Airport,Kassel,KSF
Bremerhaven Airport,Bremerhaven,BRV
Emden Airport,Emden,EME
Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,WVN
Borkum Airport,Borkum,BMK
Norderney Airport,Norderney,NRD
Flensburg-Schäferhaus Airport,Flensburg,FLF
Westerland Sylt Airport,Westerland,GWT
Kärdla Airport,Kardla,KDL
Kuressaare Airport,Kuressaare,URE
Pärnu Airport,Parnu,EPU
Lennart Meri Tallinn Airport,Tallinn,TLL
Tartu Airport,Tartu,TAY
Enontekio Airport,Enontekio,ENF
Halli Airport,Halli,KEV
Helsinki Malmi Airport,Helsinki,HEM
Helsinki Vantaa Airport,Helsinki,HEL
Hyvinkää Airfield,Hyvinkaa,HYV
Kitee Airport,Kitee,KTQ
Ivalo Airport,Ivalo,IVL
Joensuu Airport,Joensuu,JOE
Jyvaskyla Airport,Jyvaskyla,JYV
Kauhava Airport,Kauhava,KAU
Kemi-Tornio Airport,Kemi,KEM
Kajaani Airport,Kajaani,KAJ
Kauhajoki Airport,Kauhajoki,KHJ
Kokkola-Pietarsaari Airport,Kruunupyy,KOK
Kuusamo Airport,Kuusamo,KAO
Kittilä Airport,Kittila,KTT
Kuopio Airport,Kuopio,KUO
Lahti Vesivehmaa Airport,Vesivehmaa,QLF
Lappeenranta Airport,Lappeenranta,LPP
Mariehamn Airport,Mariehamn,MHQ
Mikkeli Airport,Mikkeli,MIK
Oulu Airport,Oulu,OUL
Pori Airport,Pori,POR
Rovaniemi Airport,Rovaniemi,RVN
Savonlinna Airport,Savonlinna,SVL
Sodankyla Airport,Sodankyla,SOT
Tampere-Pirkkala Airport,Tampere,TMP
Turku Airport,Turku,TKU
Utti Air Base,Utti,UTI
Vaasa Airport,Vaasa,VAA
Varkaus Airport,Varkaus,VRK
Ylivieska Airfield,Ylivieska-raudaskyla,YLI
Belfast International Airport,Belfast,BFS
St Angelo Airport,Enniskillen,ENK
George Best Belfast City Airport,Belfast,BHD
City of Derry Airport,Londonderry,LDY
Birmingham International Airport,Birmingham,BHX
Coventry Airport,Coventry,CVT
Gloucestershire Airport,Golouchestershire,GLO
Cotswold Airport,Pailton,GBA
Manchester Airport,Manchester,MAN
Newquay Cornwall Airport,Newquai,NQY
RAF Lyneham,Lyneham,LYE
RNAS Yeovilton,Yeovilton,YEO
Haverfordwest Airport,Haverfordwest,HAW
Cardiff International Airport,Cardiff,CWL
Swansea Airport,Swansea,SWS
Bristol Airport,Bristol,BRS
Liverpool John Lennon Airport,Liverpool,LPL
London Luton Airport,London,LTN
Plymouth City Airport,Plymouth,PLH
Bournemouth Airport,Bournemouth,BOH
Southampton Airport,Southampton,SOU
Lasham Airport,Lasham,QLA
Alderney Airport,Alderney,ACI
Guernsey Airport,Guernsey,GCI
Jersey Airport,Jersey,JER
Shoreham Airport,Shoreham By Sea,ESH
London Biggin Hill Airport,Biggin Hill,BQH
London Gatwick Airport,London,LGW
